,ItemName,RawMaterials
91,Hazelnut Frappe (450 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Hazelnut Syrup']"
92,Hazelnut Frappe (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Hazelnut Syrup']"
93,Almond Frappe (450 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Almond Milk', ' Frappe Powder', ' Sugar Syrup']"
94,Almond Frappe (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Almond Milk', ' Frappe Powder', ' Sugar Syrup']"
95,Madagascar Chocochip Frappe (450 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Madagascar Chocolate Sauce', ' Madagascar Chocolate']"
96,Madagascar Chocochip Frappe (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Madagascar Chocolate Sauce', ' Madagascar Chocolate']"
97,Iced Latte (450 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk']"
98,Iced Latte (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk']"
99,Iced Americano (450 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice']"
100,Iced Americano (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice']"
101,Classic Frappe (450 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup']"
102,Classic Frappe (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup']"
103,Vietnamese (450 ML),"['Filter Coffee', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Milkmaid']"
104,Vietnamese (350 ML),"['Filter Coffee', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Milkmaid']"
105,Bon Bon (450 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Milkmaid']"
106,Bon Bon (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Milkmaid']"
107,Irish Americano (250 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Irish Syrup']"
108,Irish Americano (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Irish Syrup']"
109,Kaapicino (250 ML),"['Filter Coffee', ' Jaggery Powder Sachet', ' Amul Milk']"
110,Kaapicino (350 ML),"['Filter Coffee', ' Jaggery Powder Sachet', ' Amul Milk']"
111,Cafe Mocha (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Madagascar Chocolate Sauce', ' Amul Milk']"
112,Cafe Mocha (250 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Madagascar Chocolate Sauce', ' Amul Milk']"
113,Sea Salt Dark Mocha (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Madagascar Chocolate Sauce', ' Amul Milk']"
114,Sea Salt Dark Mocha (250 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Madagascar Chocolate Sauce', ' Amul Milk']"
115,Cappucino (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Amul Milk']"
116,Cappucino (250 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Amul Milk']"
117,Americano (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica']"
118,Americano (250 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica']"
119,South Indian Filter Kaapi (250 ML),"['Filter Coffee', ' Jaggery Powder Sachet', ' Amul Milk']"
120,Cafe Latte (250 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Amul Milk']"
121,Cafe Latte (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Amul Milk']"
122,Mix Berliner 2 Pcs (Dark Choco Mousse Berliner),['Dark Choco Mousse Berliner']
123,Mix Berliner 2 Pcs (Nutella Berliner),['Nutella Berliner']
124,Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner),['Blueberry Cheese Cake Berliner']
125,Mix Berliner 2 Pcs (Lotus Biscoff Berliner),['Lotus Biscoff Berliner']
126,Berliner Mix 3 Pcs (Dark Choco Mousse Berliner),['Dark Choco Mousse Berliner']
127,Berliner Mix 3 Pcs (Nutella Berliner),['Nutella Berliner']
128,Berliner Mix 3 Pcs (Blueberry Cheese Cake Berliner),['Blueberry Cheese Cake Berliner']
129,Berliner Mix 3 Pcs (Lotus Biscoff Berliner),['Lotus Biscoff Berliner']
130,Calzone Mix 2 Pc (Calzone Paneer),['Calzone Paneer']
131,Calzone Mix 2 Pc (Calzone Chicken),['Calzone Chicken']
132,Calzone Mix 2 Pc (Calzone Veg),['Calzone Veg']
133,Calzone Mix 3 Pc (Calzone Veg),['Calzone Veg']
134,Calzone Mix 3 Pc (Calzone Paneer),['Calzone Paneer']
135,Mix Tartlet 6 Pcs (chocolate Tartlet),['Chocolate Tartlet']
136,Mix Tartlet 6 Pcs (Filter Kaapi Tartlet),['Filter Kaapi Tartlet']
137,Mix Tartlet 6 Pcs (Kacha Nimbu Tartlet),['Kacha Nimbu Tartlet']
138,Baba Budan Peak 250 Gm,['Baba Budan Peak 250 Gm']
139,Baked Vada Pav,['Baked Vada Pav']
140,Wild Chikmanglur 250 GM,['Wild Chikmanglur 250 Gm']
141,Waves Of Malnad 250 GM,['Waves Of Malnad 250 Gm']
142,Tamma Kaapi 250 GM,['Tamma Kaapi 250 Gm']
143,Plain Nankhatai Veg,['Plain Nankhatai']
144,Mazes Of Coorg 250 GM,['Mazes Of Coorg 250 Gm']
145,Ladi Pav 4 Pcs,['Ladi Pav 4 Pc']
146,Kodai Shroom 250 GM,['Kodai Shroom 250 Gm']
147,Flat White 250 Ml,"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Amul Milk']"
148,Cashew Nuts Nankhatai Veg,['Cashew Nuts Nankhatai']
149,Coconut Nankhatai (with Egg),['Coconut Nankhatai']
150,Combo-cafe Latte 350 Ml + Mix Banana Chips,['Spicy Banana Chips 60 Gm']
151,Combo-south Indian Filter Kaapi 150 Ml + Papparoti,['Papparoti']
152,Combo-bon Bon 350 Ml + Papparoti,['Papparoti']
153,Combo-original South Indian Frappe 350 Ml + Mix Banana Chips,['Spicy Banana Chips 60 Gm']
154,Combo-cappucino 250 Ml + Papparoti,['Papparoti']
155,MIX MACRONS 6 Pcs (STRAWBERRY MACRON),['Samosa Veg Ghee Roast']
156,MIX MACRONS 6 Pcs (FILTER COFFEE MACRONS),['Samosa Paneer Ghee Roast']
157,Amma Kaapi 250 GM,['Amma Kaapi 250 Gm']
158,White Loaf Bread,['White Loaf Bread']
159,Whole Wheat Ladi Pav 4 Pc,['Whole Wheat Ladi Pav 4 Pc']
160,Double Restritto 44 Ml,"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica']"
161,French Press,"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica']"
162,Aeropress,"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica']"
163,Pour Over,"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica']"
164,Malnad Tonic (choice Of Tonic),['Tonic Water Britvit']
165,Spicy Banana Chips 60 Gm,['Spicy Banana Chips 60 Gm']
166,Yellow Banana Chips 60 Gm,['Yellow Banana Chips 60 Gm']
